Source Name,URL,Modality,Language,Information / Extractable Knowledge,Geographic Coverage,Temporal Coverage,Limitations,Status
MP e-Vikas fertilizer distribution system,https://evikas.mpkrishi.mp.gov.in/,Government web portal / dynamic,Hindi,"Fertilizer distribution, farmer token workflow, fertilizer calculation and tracking",State/district/farmer service,Current/dynamic,Dynamic pages; some functions require login/verification; personal data must not be collected,VERIFIED
MP e-Vikas fertilizer calculator,https://evikas.mpkrishi.mp.gov.in/OFRDHome/FarmerFertilizer_Calculator,Dynamic web calculator,Hindi,"Crop, area, NPK and recommended fertilizer quantities",MP farmer/crop context,Current,Interactive results; extraction may require browser automation,VERIFIED
MP e-Anugya / e-Mandi,https://eanugya.mp.gov.in/,Web portal / dashboard,Hindi,Mandi and agricultural marketing information; manuals and market-system information,Mandi/APMC,Current/historical depending page,Dynamic system; not all data may be exposed as static HTML,VERIFIED
MP e-Mandi user manual,https://eanugya.mp.gov.in/HR/Doc/User_ManualForMandiSecretary.pdf,PDF,Hindi/English,e-Mandi workflow and system context,MP mandis,Document date varies,PDF extraction/table/layout issues possible,VERIFIED
MP e-Uparjan / procurement,http://mpeuparjan.nic.in,Web portal,Hindi,Procurement registration and procurement-related information,MP/district/procurement centre,Seasonal/current,Portal may be dynamic; URL availability can change,VERIFIED
MP CM Helpline scheme: MSP procurement,https://cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=112,Government web page,Hindi,"Purpose, application process and MSP procurement scheme information",State,Updated 2026 page observed,Scheme page is descriptive; operational data may be elsewhere,VERIFIED
MP e-Services agriculture services,https://www.services.mp.gov.in/eservice/eServices?srvs=19,Government service directory,Hindi/English,"Crop arrival/rates, soil testing, seed testing, input quality control, agricultural machinery subsidy services",State/district/service,Current,Directory points to separate systems; not itself the complete dataset,VERIFIED
MP Directorate of Agricultural Engineering,https://mpdage.mp.gov.in/,Government web portal,Hindi/English,"Agricultural machinery schemes, custom hiring and equipment-related information",State/district,Current,Some functions require login; pages may change,VERIFIED
MP farmer agricultural machinery portal,https://farmer.mpdage.mp.gov.in/,Government web portal,Hindi,Agricultural machinery and irrigation equipment services,MP farmer context,Current,Interactive portal; application data may require login,VERIFIED
India Meteorological Department crop advisories,https://imdagrimet.gov.in/cropAdvisory_3.php,Government web portal,Hindi/English,Crop-specific agrometeorological advisories by state/district/crop,State/district,Date-specific; advisories updated periodically,Dynamic form; historical availability may vary,VERIFIED
DES Area Production Yield query,https://data.desagri.gov.in/website/apy-query-report-web,Government data query portal,English,"Area, production and yield by state, district, crop, season and year",State/district,Historical/year-wise,Interactive query interface; result extraction may need automation,VERIFIED
DES APY major district reports,https://data.desagri.gov.in/website/crops-report-major-contributing-district-web,Government data query portal,English,Major contributing districts for selected crops and years,State/district,Historical/year-wise,Interactive query interface,VERIFIED
DES Agricultural Statistics at a Glance,https://desagri.gov.in/document-report-category/agriculture-statistics-at-a-glance/,Government reports/PDF,English/Hindi,National/state agricultural statistics including procurement and production-related tables,State/national,Annual reports,Large PDFs; table extraction may need validation,VERIFIED
PMFBY guidelines,https://pmfby.gov.in/guidelines,Government portal/PDF,English/Hindi,Crop insurance guidelines and scheme documentation,National; state-specific application possible,Current/historical guidelines,Large PDFs and changing versions,VERIFIED
PMFBY administrative dashboard,https://pmfby.gov.in/adminStatistics/dashboard,Government dashboard,English,"Insurance coverage, farmers, area insured, premium, claims and farmer benefit statistics",State/district/crop,Year/season,Interactive dashboard; data retrieval may require form interaction,VERIFIED
PM-KISAN,https://pmkisan.gov.in/,Government portal,English/Hindi,"Farmer scheme information, status, beneficiary services and scheme documentation",National/state/district/village depending service,Current,Personal/beneficiary information must not be ingested into the project without need and authorization,VERIFIED
PM-KISAN beneficiary list,https://pmkisan.gov.in/rpt_beneficiarystatus_pub.aspx,Government web interface,English/Hindi,Public beneficiary-list query by state/district/sub-district/block/village,State/district/block/village,Current snapshot,Contains farmer-related information; use only aggregated/public information needed for project and avoid personal data,VERIFIED
e-NAM mandi status,https://www.enam.gov.in/web/eNam-mandi-status,Government portal,English/Hindi,e-NAM mandi coverage and trading-related information,State/mandi,Current,Dynamic portal,VERIFIED
e-NAM mandi online,https://www.enam.gov.in/web/mandis-online,Government portal,English/Hindi,APMC/mandi online-trading information,State/mandi,Current,Dynamic dashboard,VERIFIED
e-NAM state unified license / MP,https://enam.gov.in/web/state-unified-license/acts,Government portal,English/Hindi,State unified-license acts including Madhya Pradesh,State,Document-based,Acts are legal documents; interpretation should remain source-grounded,VERIFIED
ICAR Madhya Pradesh KVK directory,https://icar.gov.in/en/node/15044,Government institutional directory,English,"Krishi Vigyan Kendra names, districts and host organizations in MP",District,Directory snapshot,Directory may be updated; individual KVK pages may provide newer details,VERIFIED
ICAR KVK telephone directory,https://icar.gov.in/sites/default/files/inline-files/KVK-TELEPHONE-Directory-2020.pdf,PDF directory,English,KVK contact/address information for MP,District,2020 directory,Historical directory; use for historical/reference purposes and verify current contacts,VERIFIED
MP Economic Survey agriculture highlights,https://aiggpa.mp.gov.in/uploads/project/MPES_2022-23_Highlights_English.pdf,Government PDF,English,"Agriculture production, cropped area, insurance and irrigation highlights",State,2022-23 survey,Historical snapshot; not current statistics,VERIFIED
